Type,215023_s_at,215029_at,214976_at,214967_at,214970_s_at,215001_s_at,214982_at,215108_x_at,215107_s_at,215136_s_at,215135_at,215124_at,215071_s_at,215069_at,215067_x_at,215075_s_at,215084_s_at,215078_at,214831_at,214840_at,214822_at,214843_s_at,214845_s_at,214815_at
1.0,0.6061849373273858,0.13128590618122318,0.6068657038154774,0.36328987829702336,0.5705780331857832,0.0,0.42386047834744767,0.04334025773651025,0.7028514044864361,0.49883071636519777,0.5949691991786447,0.6684210526315751,0.7767218109688766,0.2362176371034537,0.20078023842478904,0.6629285732657735,0.34565558567556065,0.6533080823507853,0.44871233448024156,0.3374630766942218,0.6634794156706508,0.7325951188626031,0.47308920653623154,0.39591633466135523
2.0,0.5309246866369246,0.15266006554450506,0.7973162319465384,0.2816059595478369,0.5694390515389198,0.4918736191316055,0.34215190704391824,0.038964871433816155,0.0,0.5753080022635695,0.47392197125256685,0.5644994840041264,0.8681700134963802,0.30666882719383515,0.6143959012367725,0.22392036832223058,0.34537023826508784,0.4859185044901949,0.4173704514649149,0.0560766729710776,0.4701195219123494,0.5098644448281817,0.4404080493628107,0.49250616581293916
2.0,0.5374840662842577,0.0,0.6369907307609385,0.37732253454025755,0.7031658512593517,0.5111797001678378,0.5714129412022144,1.0,0.28204859834233825,0.6068547974718927,0.662833675564684,0.7273477812177475,0.6186198928469183,0.2412408627705158,0.11929052998169375,0.6808148357725248,0.35942359823084635,0.7150100800293239,0.4579293087269314,0.056514439934547474,0.7012837538733955,0.59228400391412,0.2124833338501134,0.41303832289888076
1.0,0.5725647971106863,0.1596914420228662,0.6421642595386927,0.39486335484429796,0.6366648546504107,0.4699314425511337,0.5236876080439399,0.054238060051770405,0.28405702808972877,0.9023801569499088,0.6374743326488709,0.7249742002063982,0.5441137376794405,0.24271722300241244,0.11972027503683515,0.5617994289976593,0.36326152090169855,0.7008980389761132,0.5809821707851115,0.0,0.7128818061088992,0.48642289759972357,0.27170010232240877,0.38934737241510226
3.0,0.23603144253239874,0.37594017860658857,0.3621470144427683,0.19437827536922353,0.3826201755067169,0.7136043391270539,0.19755355697061178,0.023580148804959546,0.29665638878673867,0.43268948871965146,0.47392197125256685,0.4128998968008257,0.7623103349556254,0.019876849951388036,0.4843673259811581,0.4825072661333882,0.6541304037665869,0.29024375343637265,0.0,0.049004398920458055,0.47082779991146473,0.26993035169515917,0.31175467427366604,0.7126968317207361
1.0,0.5195188017845772,0.12769364725855079,0.5040418193576192,0.23773225345402518,0.3100100955191424,0.8613205131852187,0.19308956432307015,0.019067668613864663,0.7711804475120929,0.6112796667371186,0.44240246406571176,0.5791537667698641,0.7380526358840129,0.02718663353858323,0.18695026119569597,0.3817845109184906,0.9585960907404777,0.35707740240698876,0.420060473360442,0.15734109696750742,0.4018592297476756,0.4123927934150696,0.5922110942296366,0.2682365774995262
1.0,0.8267739536860005,0.006703216406253418,0.5363224832938132,0.232881458703279,0.31404830317620536,0.9102874102731865,0.26886802774677826,0.025585437375976537,0.45089530706344944,0.7973014433664459,0.47997946611909986,0.2819401444788437,0.5845824301664553,0.03777321666486664,0.11071237219270422,0.35614599140924413,0.34031958909972887,0.33575661311014593,0.412219789385883,0.2675053658329259,0.3999114652501093,0.030262476256259854,1.0,0.2514228799089355
1.0,0.6875929466751654,0.1595032969148577,0.615057124380253,0.43137424747715414,0.9564857239004945,0.8366948292701427,0.5732510558217907,0.05499788550104337,0.7257899352210687,0.5825418794444709,0.6512320328542132,0.9123839009287916,0.6528720706719562,0.2650966835907963,0.12023931776577225,0.44950230201394054,0.36095020687687335,0.8647443338016969,0.456803253049734,0.06192489958985908,0.8327578574590535,0.6581980659644273,0.5416080121546617,0.4461677101119334
3.0,0.3508736987465484,0.1118500789771907,0.4429295106704014,0.26761661397202036,0.3756827418394554,0.9534653277577066,0.2478172388892541,0.024879055306927706,0.9516223020565188,0.5618629449584448,0.4828542094455846,0.5141382868937034,0.6766747781276837,0.0299773144647291,0.15431754252801688,0.42254173204043294,0.3484234555571419,0.40937137271672125,0.4187258888541336,0.46136387785026667,0.473926516157592,0.2529068094169116,0.38710737651545685,0.2613830392714863
3.0,0.6951880178457626,0.27579447553457265,0.5021556369907293,0.25778509246827497,0.5038181771116463,0.22247982628320037,0.32436158340445137,0.03388310306207334,0.5418941472659897,0.6741687177424301,0.38624229979466135,0.47543859649122533,0.5727679849494903,0.16864714990457663,0.1103216948698484,1.0,0.29898701669282446,0.42134522573156613,0.6692941299134608,0.0514099921371953,0.4160247897299671,0.5537615840672312,0.5882050168987007,0.29996679946879234
