Type,203608_at,205417_s_at,218716_x_at,218792_s_at,222037_at,220202_s_at,212915_at,209092_s_at,218595_s_at,62987_r_at,201965_s_at
2.0,0.19774827381318252,0.5145887501911832,0.0848444916094277,0.4625770260227944,0.2694253945002997,0.6634900367412345,0.45884113408481475,0.5157218883464068,0.4908750034977752,0.19364631208007363,0.4898227253310548
2.0,0.5106098168978493,0.3581773474357925,0.5322153677508137,0.7529116987485124,0.23108063120047928,0.6258144166007804,0.7466100725641452,0.5381940131660656,0.3879060917256624,0.18487894451933368,0.4985903460059801
2.0,0.29847494553376913,1.0,0.02515422560669857,0.6877725093549216,0.29780944137425924,0.5669311979164464,0.7356936801840155,0.2943638152928928,0.2971877885664714,0.2494878626091939,0.48174925245621525
3.0,0.4158249158249158,0.3761956304340151,0.09967813786428169,0.5497405612295232,0.10492709234969029,0.40486387985743233,0.8084738654703959,0.6006611696588101,0.019716260458348168,0.21849426299979827,0.4590559589918835
1.0,0.7493767970441398,0.649793522124311,0.3570395680516846,0.5467811836195163,0.2911911578667023,0.5480616779201671,0.694966894991676,0.6001165645930279,0.6557965134174663,0.20973750968549995,0.525491243058522
1.0,1.0,0.6781827593915081,0.5466291938286433,0.22469567733577145,0.36445835275317917,0.730097793411946,0.6540812565924083,0.8281054431843156,0.6674259171167137,0.19681997176610427,0.4835326783425884
3.0,0.15639833084052143,0.3099227031542293,0.44307938099847255,0.45083816150310124,0.25896531060656514,0.42251573869329734,0.41256719490653065,1.0,0.6947925119623917,0.20610743740248147,0.9161683041435283
2.0,0.5599470021376713,0.31332282315846455,0.5100465300696202,0.595295247239559,0.2586390571942207,0.45375212985003316,0.49215265157773014,0.5257923048259656,0.5561462909589497,0.20796493052975681,0.4950662110209312
1.0,0.9676856461846322,0.7827099779992237,0.3881470770020175,0.6581655804654774,0.6456621612624008,0.7105179710720917,0.6644480168765647,0.8180445811795963,0.6836555950415535,0.19469712247778972,0.13744126441691568
2.0,0.456785570375834,0.5018118286527758,0.6134564028407836,0.5353119512820687,0.26953192622677924,0.742680292069559,0.6208555198312344,0.7990885031004277,0.4724515208327502,0.20784817381889967,0.521999145664246
1.0,0.49822429842713817,0.7343670953092468,0.5486758171916364,0.6440394846737126,0.283520873560157,0.7106617227368626,0.7545114310767709,0.6225504715133333,0.6334723116098161,0.18951737021430168,0.524134985049124
2.0,0.5948634417194256,0.32657034954174874,0.5437079450968504,0.5434337987228643,0.22283773886410546,0.3192301675552491,0.6334875268461919,0.6910178382045228,0.6448051039538852,0.21407873648010334,0.5450768902178554
3.0,0.1105442525320821,0.30425191477346286,0.30906345115508865,0.35841351054524895,0.23273853119382126,0.746688426722589,0.5426266695472047,0.5414520890859232,0.6294484707725883,0.2141211934658699,0.4866082870568133
2.0,0.2197874621809713,0.7209666223513772,0.7674954227939035,0.6467686884696078,0.621512750516013,0.5565853060430663,0.7616026382340606,0.585125593571749,0.4894814897725045,0.2672985681381551,0.4755339598462196
1.0,0.8934476611961398,0.5601080038118991,0.593159263448823,0.3208162621087873,0.4959984020241028,0.7345667789902715,0.7992127235064621,0.9337301625216172,0.5954500937403809,0.11591818538842795,0.5083831695856471
