Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Lambda,Accuracy,Precision,Sensitivity,F-measure,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,10,0.01,0.4375,0.43125,0.4375,0.431818182,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,10,0.01,0.3125,0.203125,0.3125,0.236111111,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,10,0.01,0.4375,0.326704545,0.4375,0.359477124,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,10,0.01,0.3125,0.25,0.3125,0.275,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,20,0.01,0.375,0.371354167,0.375,0.358719406,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,20,0.01,0.375,0.248397436,0.375,0.275493421,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,20,0.01,0.375,0.248579545,0.375,0.29003268,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,20,0.01,0.3125,0.25,0.3125,0.275,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,50,0.01,0.5625,0.559821429,0.5625,0.551767677,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,50,0.01,0.3125,0.216666667,0.3125,0.254261364,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,50,0.01,0.25,0.238839286,0.25,0.242521368,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,50,0.01,0.25,0.302083333,0.25,0.251785714,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,100,0.01,0.4375,0.43125,0.4375,0.431818182,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,100,0.01,0.3125,0.216666667,0.3125,0.254261364,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,100,0.01,0.375,0.397321429,0.375,0.36092033,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,100,0.01,0.3125,0.28125,0.3125,0.288888889,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,200,0.01,0.375,0.395833333,0.375,0.377272727,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,200,0.01,0.375,0.40625,0.375,0.364285714,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,200,0.01,0.625,0.630952381,0.625,0.614291958,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,200,0.01,0.375,0.34469697,0.375,0.332720588,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,500,0.01,0.4375,0.4609375,0.4375,0.433119658,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,500,0.01,0.5,0.473214286,0.5,0.47847465,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,500,0.01,0.6875,0.645833333,0.6875,0.637987013,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,500,0.01,0.375,0.411458333,0.375,0.379464286,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,1000,0.01,0.375,0.370138889,0.375,0.336038961,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,1000,0.01,0.5625,0.535416667,0.5625,0.545454545,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,1000,0.01,0.375,0.321428571,0.375,0.34375,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,1000,0.01,0.5,0.505208333,0.5,0.486458333,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,10,1,0.4375,0.3125,0.4375,0.354166667,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,10,1,0.4375,0.4625,0.4375,0.318452381,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,10,1,0.3125,0.2421875,0.3125,0.269230769,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,10,1,0.375,0.526988636,0.375,0.350081699,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,20,1,0.5,0.501736111,0.5,0.459325397,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,20,1,0.375,0.28125,0.375,0.305555556,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,20,1,0.25,0.206439394,0.25,0.210477941,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,20,1,0.25,0.308035714,0.25,0.256753663,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,50,1,0.5625,0.559027778,0.5625,0.526339286,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,50,1,0.375,0.28125,0.375,0.305555556,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,50,1,0.375,0.370138889,0.375,0.336038961,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,50,1,0.3125,0.34375,0.3125,0.301785714,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,100,1,0.375,0.379166667,0.375,0.375,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,100,1,0.4375,0.605113636,0.4375,0.419526144,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,100,1,0.5,0.495535714,0.5,0.470695971,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,100,1,0.3125,0.364583333,0.3125,0.325892857,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,200,1,0.375,0.379166667,0.375,0.375,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,200,1,0.5,0.53125,0.5,0.495138889,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,200,1,0.5625,0.5625,0.5625,0.531593407,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,200,1,0.4375,0.453125,0.4375,0.425694444,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,500,1,0.4375,0.4609375,0.4375,0.433119658,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,500,1,0.5,0.473214286,0.5,0.47847465,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,500,1,0.625,0.572916667,0.625,0.587053571,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,500,1,0.375,0.358333333,0.375,0.34375,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,1000,1,0.375,0.370138889,0.375,0.336038961,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,1000,1,0.5625,0.525297619,0.5625,0.535292832,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,1000,1,0.375,0.321428571,0.375,0.34375,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,1000,1,0.5,0.416666667,0.5,0.45,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,10,5,0.3125,0.308035714,0.3125,0.304166667,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,10,5,0.4375,0.3125,0.4375,0.347222222,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,10,5,0.4375,0.34375,0.4375,0.38474026,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,10,5,0.375,0.411458333,0.375,0.379464286,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,20,5,0.3125,0.221354167,0.3125,0.257867133,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,20,5,0.4375,0.352564103,0.4375,0.353618421,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,20,5,0.4375,0.401041667,0.4375,0.408333333,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,20,5,0.3125,0.34375,0.3125,0.301785714,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,50,5,0.3125,0.2890625,0.3125,0.288675214,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,50,5,0.3125,0.203125,0.3125,0.236111111,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,50,5,0.4375,0.484375,0.4375,0.43543956,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,50,5,0.3125,0.414772727,0.3125,0.31092437,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,100,5,0.4375,0.446428571,0.4375,0.43125,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,100,5,0.5,0.53125,0.5,0.495138889,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,100,5,0.5,0.5,0.5,0.474025974,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,100,5,0.375,0.384375,0.375,0.346230159,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,200,5,0.375,0.443452381,0.375,0.384469697,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,200,5,0.5,0.566666667,0.5,0.5,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,200,5,0.5,0.484375,0.5,0.48989899,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,200,5,0.375,0.322916667,0.375,0.338888889,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,500,5,0.3125,0.308035714,0.3125,0.304166667,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,500,5,0.4375,0.426339286,0.4375,0.430021368,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,500,5,0.5,0.392857143,0.5,0.439102564,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,500,5,0.375,0.358333333,0.375,0.34375,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,1000,5,0.375,0.370138889,0.375,0.336038961,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,1000,5,0.5625,0.525297619,0.5625,0.535292832,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,1000,5,0.3125,0.291666667,0.3125,0.283928571,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,1000,5,0.5,0.4,0.5,0.4375,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,10,10,0.4375,0.290178571,0.4375,0.348557692,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,10,10,0.4375,0.3125,0.4375,0.347222222,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,10,10,0.25,0.247767857,0.25,0.24732906,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,10,10,0.5,0.639204545,0.5,0.463643791,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,20,10,0.4375,0.295758929,0.4375,0.352564103,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,20,10,0.4375,0.3125,0.4375,0.347222222,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,20,10,0.4375,0.390625,0.4375,0.397569444,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,20,10,0.4375,0.5875,0.4375,0.416666667,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,50,10,0.3125,0.328125,0.3125,0.310042735,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,50,10,0.375,0.254166667,0.375,0.301136364,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,50,10,0.5625,0.546875,0.5625,0.536458333,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,50,10,0.3125,0.296875,0.3125,0.299603175,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,100,10,0.4375,0.441666667,0.4375,0.4375,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,100,10,0.375,0.261363636,0.375,0.301470588,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,100,10,0.5625,0.552083333,0.5625,0.530844156,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,100,10,0.375,0.448863636,0.375,0.355042017,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,200,10,0.3125,0.332291667,0.3125,0.310642483,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,200,10,0.5625,0.572916667,0.5625,0.539285714,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,200,10,0.5,0.40625,0.5,0.442307692,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,200,10,0.4375,0.375,0.4375,0.401785714,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,500,10,0.25,0.273809524,0.25,0.24905303,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,500,10,0.375,0.379464286,0.375,0.374465812,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,500,10,0.5625,0.532738095,0.5625,0.536458333,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,500,10,0.375,0.333333333,0.375,0.322916667,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,1000,10,0.3125,0.2890625,0.3125,0.288675214,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,1000,10,0.5625,0.525297619,0.5625,0.535292832,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,1000,10,0.4375,0.375,0.4375,0.401785714,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,1000,10,0.375,0.34469697,0.375,0.332720588,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,10,20,0.5,0.5,0.5,0.490909091,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,10,20,0.375,0.140625,0.375,0.204545455,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,10,20,0.5625,0.416666667,0.5625,0.477272727,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,10,20,0.5625,0.427083333,0.5625,0.484090909,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,20,20,0.5,0.508928571,0.5,0.49375,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,20,20,0.4375,0.352564103,0.4375,0.353618421,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,20,20,0.5625,0.387896825,0.5625,0.453983516,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,20,20,0.4375,0.390625,0.4375,0.410714286,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,50,20,0.4375,0.475520833,0.4375,0.436844406,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,50,20,0.4375,0.4625,0.4375,0.415674603,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,50,20,0.5625,0.412946429,0.5625,0.476190476,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,50,20,0.3125,0.479166667,0.3125,0.304166667,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,100,20,0.375,0.428819444,0.375,0.380952381,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,100,20,0.5,0.635416667,0.5,0.474621212,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,100,20,0.5625,0.395833333,0.5625,0.461647727,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,100,20,0.3125,0.479166667,0.3125,0.304166667,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,200,20,0.25,0.185267857,0.25,0.211538462,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,200,20,0.5625,0.526785714,0.5625,0.536166958,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,200,20,0.5625,0.4125,0.5625,0.46875,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,200,20,0.375,0.4375,0.375,0.384375,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,500,20,0.25,0.273809524,0.25,0.255208333,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,500,20,0.5,0.5,0.5,0.492063492,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,500,20,0.375,0.316964286,0.375,0.343531469,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,500,20,0.375,0.375,0.375,0.369047619,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Naive Bayes,22278,1000,20,0.375,0.371354167,0.375,0.358719406,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,SVM,22278,1000,20,0.5625,0.526785714,0.5625,0.536166958,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,kNN,22278,1000,20,0.4375,0.370535714,0.4375,0.401223776,,,
Embedded approach,df_normalized_NablonekPlaski,Ridge regression,Random Forest,22278,1000,20,0.25,0.28125,0.25,0.239285714,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,10,1.00E-15,0.638888889,0.681980057,0.638888889,0.619418826,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,10,1.00E-15,0.444444444,0.197530864,0.444444444,0.273504274,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,10,1.00E-15,0.638888889,0.669753086,0.638888889,0.640634284,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,10,1.00E-15,0.694444444,0.602483165,0.694444444,0.640569141,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,20,1.00E-15,0.694444444,0.614278752,0.694444444,0.650865801,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,20,1.00E-15,0.472222222,0.346296296,0.472222222,0.374698068,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,20,1.00E-15,0.583333333,0.569038337,0.583333333,0.571397243,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,20,1.00E-15,0.694444444,0.597222222,0.694444444,0.638037559,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,50,1.00E-15,0.75,0.731782107,0.75,0.728174603,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,50,1.00E-15,0.694444444,0.595502646,0.694444444,0.63685835,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,50,1.00E-15,0.638888889,0.622354497,0.638888889,0.61218605,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,50,1.00E-15,0.722222222,0.625,0.722222222,0.661286286,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,100,1.00E-15,0.722222222,0.642741112,0.722222222,0.675974659,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,100,1.00E-15,0.722222222,0.625,0.722222222,0.661286286,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,100,1.00E-15,0.694444444,0.696428571,0.694444444,0.665370728,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,100,1.00E-15,0.722222222,0.625,0.722222222,0.661286286,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,200,1.00E-15,0.722222222,0.645502646,0.722222222,0.678872054,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,200,1.00E-15,0.722222222,0.642741112,0.722222222,0.675974659,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,200,1.00E-15,0.75,0.745811287,0.75,0.736383442,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,200,1.00E-15,0.722222222,0.625,0.722222222,0.661286286,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,500,1.00E-15,0.777777778,0.676548397,0.777777778,0.721801347,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,500,1.00E-15,0.75,0.644527987,0.75,0.691137566,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,500,1.00E-15,0.722222222,0.763149704,0.722222222,0.724747475,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,500,1.00E-15,0.75,0.649250441,0.75,0.691301349,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,1000,1.00E-15,0.75,0.664021164,0.75,0.702342048,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,1000,1.00E-15,0.75,0.644527987,0.75,0.691137566,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,1000,1.00E-15,0.805555556,0.849206349,0.805555556,0.79423436,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,1000,1.00E-15,0.722222222,0.627104377,0.722222222,0.662325004,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,10,1.00E-10,0.638888889,0.681980057,0.638888889,0.619418826,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,10,1.00E-10,0.444444444,0.197530864,0.444444444,0.273504274,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,10,1.00E-10,0.638888889,0.669753086,0.638888889,0.640634284,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,10,1.00E-10,0.666666667,0.577441077,0.666666667,0.608570036,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,20,1.00E-10,0.694444444,0.614278752,0.694444444,0.650865801,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,20,1.00E-10,0.472222222,0.346296296,0.472222222,0.374698068,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,20,1.00E-10,0.583333333,0.569038337,0.583333333,0.571397243,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,20,1.00E-10,0.722222222,0.627104377,0.722222222,0.662325004,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,50,1.00E-10,0.75,0.731782107,0.75,0.728174603,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,50,1.00E-10,0.694444444,0.595502646,0.694444444,0.63685835,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,50,1.00E-10,0.638888889,0.622354497,0.638888889,0.61218605,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,50,1.00E-10,0.722222222,0.625,0.722222222,0.661286286,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,100,1.00E-10,0.722222222,0.642741112,0.722222222,0.675974659,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,100,1.00E-10,0.722222222,0.625,0.722222222,0.661286286,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,100,1.00E-10,0.694444444,0.696428571,0.694444444,0.665370728,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,100,1.00E-10,0.722222222,0.625,0.722222222,0.661286286,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,200,1.00E-10,0.722222222,0.645502646,0.722222222,0.678872054,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,200,1.00E-10,0.722222222,0.642741112,0.722222222,0.675974659,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,200,1.00E-10,0.75,0.745811287,0.75,0.736383442,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,200,1.00E-10,0.722222222,0.617724868,0.722222222,0.661549708,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,500,1.00E-10,0.777777778,0.676548397,0.777777778,0.721801347,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,500,1.00E-10,0.75,0.644527987,0.75,0.691137566,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,500,1.00E-10,0.722222222,0.763149704,0.722222222,0.724747475,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,500,1.00E-10,0.722222222,0.625,0.722222222,0.661286286,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,1000,1.00E-10,0.75,0.664021164,0.75,0.702342048,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,1000,1.00E-10,0.75,0.644527987,0.75,0.691137566,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,1000,1.00E-10,0.805555556,0.849206349,0.805555556,0.79423436,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,1000,1.00E-10,0.722222222,0.625,0.722222222,0.661286286,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,10,1.00E-08,0.638888889,0.681980057,0.638888889,0.619418826,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,10,1.00E-08,0.444444444,0.197530864,0.444444444,0.273504274,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,10,1.00E-08,0.638888889,0.669753086,0.638888889,0.640634284,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,10,1.00E-08,0.694444444,0.602483165,0.694444444,0.640569141,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,20,1.00E-08,0.694444444,0.614278752,0.694444444,0.650865801,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,20,1.00E-08,0.472222222,0.346296296,0.472222222,0.374698068,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,20,1.00E-08,0.583333333,0.569038337,0.583333333,0.571397243,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,20,1.00E-08,0.722222222,0.643691051,0.722222222,0.6642214,,,
