Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Lambda,Accuracy,Precision,Sensitivity,F-measure,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,20,1,0.725,0.792554113,0.725,0.743434343,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,20,1,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,20,1,0.775,0.715,0.775,0.715,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,20,1,0.825,0.76,0.825,0.774603175,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,50,1,0.675,0.844444444,0.675,0.694438894,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,50,1,0.725,0.602564103,0.725,0.625074627,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,50,1,0.725,0.696969697,0.725,0.697580016,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,50,1,0.75,0.673541667,0.75,0.707142857,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,100,1,0.65,0.828520499,0.65,0.682979243,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,100,1,0.8,0.644444444,0.8,0.7125,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,100,1,0.75,0.725,0.75,0.697291667,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,100,1,0.775,0.693181818,0.775,0.728864169,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,200,1,0.675,0.819444444,0.675,0.702391304,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,200,1,0.875,0.893939394,0.875,0.849289617,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,200,1,0.8,0.805882353,0.8,0.776344086,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,200,1,0.75,0.691666667,0.75,0.687767857,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,500,1,0.75,0.861587302,0.75,0.766889848,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,500,1,0.95,0.95,0.95,0.95,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,500,1,0.775,0.714516129,0.775,0.743220339,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,500,1,0.775,0.693181818,0.775,0.728864169,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,1000,1,0.75,0.861587302,0.75,0.766889848,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,1000,1,0.9,0.91474359,0.9,0.903148148,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,1000,1,0.8,0.783333333,0.8,0.786781609,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,1000,1,0.85,0.853333333,0.85,0.84028462,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,10,5,0.6,0.701666667,0.6,0.626431624,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,10,5,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,10,5,0.7,0.547368421,0.7,0.606060606,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,10,5,0.725,0.67,0.725,0.677777778,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,20,5,0.5,0.739166667,0.5,0.520714286,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,20,5,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,20,5,0.725,0.710810811,0.725,0.661538462,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,20,5,0.7,0.597368421,0.7,0.612727273,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,50,5,0.625,0.787777778,0.625,0.634495272,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,50,5,0.725,0.602564103,0.725,0.625074627,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,50,5,0.775,0.715,0.775,0.715,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,50,5,0.75,0.730208333,0.75,0.730952381,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,100,5,0.65,0.819162088,0.65,0.672058824,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,100,5,0.8,0.72254902,0.8,0.752534562,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,100,5,0.725,0.666935484,0.725,0.694491525,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,100,5,0.775,0.756182796,0.775,0.758696529,,,
