Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Iterations,Initialized particles,Accuracy,Precision,Sensitivity,F-measure
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,101,58,100,20,0.7222222222222222,0.6177248677248677,0.7222222222222222,0.6615497076023392
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,Naive_Bayes,501,202,100,20,0.7777777777777778,0.7595598845598845,0.7777777777777778,0.7559523809523809
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,SVM,501,202,100,20,0.75,0.6445279866332498,0.75,0.691137566137566
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,202,100,20,0.75,0.7242063492063493,0.75,0.727805010893246
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,Random_Forest,501,202,100,20,0.75,0.6445279866332498,0.75,0.691137566137566
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,Naive_Bayes,1001,440,100,20,0.7777777777777778,0.6881313131313131,0.7777777777777778,0.730059700647936
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,SVM,1001,440,100,20,0.75,0.6445279866332498,0.75,0.691137566137566
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,1001,440,100,20,0.7777777777777778,0.8333333333333334,0.7777777777777778,0.7637995137995138
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,Random_Forest,1001,440,100,20,0.7222222222222222,0.625,0.7222222222222222,0.6612862862862863
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,Naive_Bayes,101,42,100,20,0.6944444444444444,0.671400724032303,0.6944444444444444,0.6694172113289759
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,SVM,101,42,100,20,0.6666666666666666,0.5865009746588694,0.6666666666666666,0.6230880230880231
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,101,42,100,20,0.6388888888888888,0.6087301587301587,0.6388888888888888,0.6121302898263683
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,Random_Forest,101,42,100,20,0.6944444444444444,0.6006493506493507,0.6944444444444444,0.6300166265336544
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,Naive_Bayes,501,22,200,10,0.7777777777777778,0.7595598845598845,0.7777777777777778,0.7559523809523809
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,SVM,501,22,200,10,0.75,0.6445279866332498,0.75,0.691137566137566
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,kNN,501,22,200,10,0.6944444444444444,0.6370851370851371,0.6944444444444444,0.6620370370370369
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,501,22,200,10,0.7222222222222222,0.625,0.7222222222222222,0.6612862862862863
