Type,1007_s_at,215432_at,215431_at,215430_at,215429_s_at,215428_at,215427_s_at,215426_at,215425_at,215424_s_at,215423_at,215422_at,215421_at,215420_at,215419_at,215418_at,215417_at,215416_s_at,215433_at,215434_x_at
1.0,0.36818802366357056,0.014193237103453956,0.0,0.18333518128395573,0.02807249098939035,0.0,0.09886590906463537,0.0,1.0,0.7584801328845567,0.12892728904847384,0.04914146131187565,0.10578556263269634,0.10134366246498518,0.01055287910071156,0.023508771929822776,0.23571056422201123,0.5622192064870147,0.0,0.7409705372616991
2.0,0.2697218727413871,0.263399139560131,0.37757104440729733,0.2955427430979055,0.06520998165244052,0.3114139109207951,0.10407972162171539,0.3310897063943384,0.30518949219226005,0.4216352668619142,0.32338420107719973,0.2654644730224849,0.30960721868365276,0.19382440476190435,0.34354209681119763,0.38304093567251307,0.27132305617702046,0.662070011884994,0.3976479514415782,0.8201155401502023
3.0,0.28476055357764296,0.6777371235575581,0.6728686677810896,0.5659163987138262,0.058668677887927435,0.10399105207512666,0.12685402480896207,0.7423697342462576,0.35917924435237253,0.38369322900730035,0.7499999999999993,0.7374092966448728,0.9105626326963917,0.2674413515406161,0.7297545308557025,0.6890643274853788,0.34320696313095717,0.5858627578242876,0.8552352048558408,1.0
1.0,0.33772519206574386,0.2482811306340717,0.34392034304818603,0.1993014746645978,0.035150442734584085,0.09370012205426705,0.09811447266505587,0.3415922014622267,0.4614545433444168,0.4149910390348382,0.3899236983842013,0.28996335943673984,0.12128450106157124,0.15331757703081186,0.42727689837118704,0.4625146198830407,0.2887768549449876,0.6149262034609779,0.38710166919574956,0.7966262276140965
1.0,0.30478357469818257,0.07844477503920196,0.10938294934224851,0.0,0.030132058915245872,0.08895674217158621,0.0,0.09336195891841792,0.9665813647151668,0.7480001748481017,0.23675942549371742,0.04231625835189283,0.17271762208067937,0.09880514705882357,0.11676990135352004,0.27888888888888796,0.28439425051334694,0.5176041201311562,0.08596358118361191,0.7783997689196995
2.0,0.3447386032068953,0.3680189779260991,0.5251108365433549,0.33340725135824417,0.03956691057559119,0.09589628244745349,0.11566340273522893,0.5385865150284324,0.41667972308781454,0.7691240110154314,0.5023563734290836,0.4761117896400601,0.4021762208067956,0.20465686274509765,0.508602890571231,0.5378947368421055,0.308406632137056,0.8205365948228639,0.5931714719271628,0.5759849797804738
1.0,0.495248547795594,0.01535925374934726,0.18351624391307622,0.07694866393169915,0.009413095661128391,1.0,0.021144264228159623,0.21585238482070507,0.29616025161174264,0.47549940988766165,0.17549371633752336,0.14268266398448187,0.24612526539278126,0.16032037815126024,0.2846983253039676,0.29999999999999977,0.2845628122222566,0.07950302182287122,0.25644916540212287,0.5653321779318314
3.0,0.0,0.2775119617224884,0.40380841630932585,0.28456591639871437,0.03153894686459778,0.38747943650932953,0.1026808938624988,0.2990019728443776,0.3986096362190924,0.20696551121213594,0.31945691202872495,0.2929089733457852,0.2965498938428877,1.0,0.32083046570314416,0.45473684210526394,0.09937478929786432,0.33564570918010483,0.3902883156297411,0.4363431542461006
2.0,0.4806221056294674,0.38856499537614203,0.5766407442401338,0.3905643641201914,0.04257649046724639,0.09867618064031546,0.1247731240101271,0.5618544737147505,0.41166605736701295,0.8944136031822357,0.5581238779174155,0.5414900495725274,0.4243630573248415,0.20380339635854325,0.5770818995182377,0.5755555555555559,0.3243893468999969,0.3697750280266705,0.6279969650986337,0.38406701328711734
2.0,0.19853307278421695,0.660045836516426,0.7973689948397408,0.5799977824592536,0.04857389425133985,0.08938127875316855,0.16679575958659454,1.0,0.3559470547615317,0.6352887179263027,0.8043087971274674,0.8430921761620797,0.48259023354564784,0.2742471988795515,0.7787336545079164,0.8226900584795312,0.694198412455178,0.6180196734576903,0.8651745068285277,0.6156152512998269
