Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Iterations,Initialized particles,Accuracy,Precision,Sensitivity,F-measure
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,235.0,200,500,0.6875,0.69375,0.6875,0.6875
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,486.0,200,50,0.5625,0.551339286,0.5625,0.555021368
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,496.0,500,1000,0.6875,0.677083333,0.6875,0.651785714
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,476.0,500,100,0.75,0.772321429,0.75,0.745833333
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,384.0,500,10,0.6875,0.651041667,0.6875,0.641233766
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,224.0,500,200,0.75,0.752232143,0.75,0.746794872
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,369.0,500,20,0.625,0.578869048,0.625,0.59298514
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,230.0,500,500,0.625,0.578869048,0.625,0.59298514
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,492.0,500,50,0.8125,0.807291667,0.8125,0.804924242
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,483.0,50,1000,0.5625,0.447916667,0.5625,0.498376623
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,224.0,50,100,0.6875,0.691964286,0.6875,0.672916667
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,499.0,50,10,0.75,0.757589286,0.75,0.741477273
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,519.0,50,200,0.6875,0.677083333,0.6875,0.651785714
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,518.0,50,20,0.6875,0.677083333,0.6875,0.651785714
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,251.0,50,500,0.625,0.46875,0.625,0.534090909
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,517.0,50,50,0.5,0.453125,0.5,0.473214286
Hybrid approach,chi2_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,,0,0,,,,0.69
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,496.0,1000,1000,0.625,0.604166667,0.625,0.610479798
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,514.0,1000,100,0.875,0.894345238,0.875,0.864619755
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,390.0,1000,10,0.75,0.747916667,0.75,0.744318182
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,258.0,1000,200,0.625,0.604166667,0.625,0.610479798
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,535.0,1000,20,0.625,0.46875,0.625,0.534090909
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,509.0,1000,500,0.625,0.604166667,0.625,0.604910714
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,251.0,1000,50,0.75,0.736607143,0.75,0.728802448
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,255.0,100,1000,0.625,0.628645833,0.625,0.60118007
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,247.0,100,100,0.5,0.541666667,0.5,0.516414141
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,493.0,100,10,0.6875,0.651041667,0.6875,0.641233766
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,507.0,100,200,0.6875,0.683035714,0.6875,0.68215812
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,387.0,100,20,0.5,0.416666667,0.5,0.45
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,483.0,100,500,0.5625,0.551339286,0.5625,0.555021368
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,486.0,100,50,0.6875,0.683035714,0.6875,0.68215812
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,265.0,200,1000,0.6875,0.651041667,0.6875,0.641233766
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,259.0,200,100,0.5,0.421130952,0.5,0.457167832
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,503.0,200,10,0.75,0.755208333,0.75,0.736607143
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,261.0,200,200,0.625,0.578869048,0.625,0.59298514
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,388.0,200,20,0.5,0.474702381,0.5,0.471590909
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,241.0,200,500,0.6875,0.697916667,0.6875,0.679545455
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,487.0,200,50,0.75,0.747916667,0.75,0.744318182
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,504.0,500,1000,0.5625,0.551339286,0.5625,0.555021368
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,494.0,500,100,0.625,0.644345238,0.625,0.607007576
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,488.0,500,10,0.75,0.747916667,0.75,0.744318182
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,384.0,500,200,0.8125,0.854166667,0.8125,0.784090909
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,358.0,500,20,0.75,0.75,0.75,0.75
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,257.0,500,500,0.6875,0.666666667,0.6875,0.672979798
